mo_yr,kWh1,kWh2,kWh_total,kW1,kW2,MG,cost1,cost2
2010-01-01T00:00:00Z,459409,0,481318.8,1132.8,0,396.81,33373.77,0
2010-02-01T00:00:00Z,466842,0,451698,1032,0,398.2,31755.69,0
2010-03-01T00:00:00Z,449465,0,446865.6,993.6,0,429.05,29597.84,0
2010-04-01T00:00:00Z,406961,0,419864.4,984,0,410.45,28318.18,0
2010-05-01T00:00:00Z,403368,0,416374.8,904.8,0,412.9,26779.61,0
2010-06-01T00:00:00Z,433990,0,404805.6,876,0,452.98,28129.19,0
2010-07-01T00:00:00Z,437783,0,459474,945.6,0,441.75,30328.21,0
2010-08-01T00:00:00Z,530549,0,559411.2,1036.8,0,516.18,34820.36,0
2010-09-01T00:00:00Z,575827,0,545797.2,1027.2,0,553.65,36550.73,0
2010-10-01T00:00:00Z,485466,0,519009.6,1123.2,0,456.9,35755.19,0
2010-11-01T00:00:00Z,483116,0,464487.6,1024.8,0,435.26,33799.52,0
2010-12-01T00:00:00Z,554792,0,512199.6,1159.2,0,479.24,39861.79,0
2011-01-01T00:00:00Z,473140,0,512744.4,1082.4,0,413.95,35804.58,0
2011-02-01T00:00:00Z,489624,0,434640,1104,0,449.92,36494.58,0
2011-03-01T00:00:00Z,426408,0,458394,984,0,403.93,31488.2,0
2011-04-01T00:00:00Z,444282,0,449194.8,1048.8,0,437.58,33257.79,0
2011-05-01T00:00:00Z,437802,0,418374,1094.4,0,452.62,31093.17,0
2011-06-01T00:00:00Z,441725,0,445038,1154.4,0,442.585,32471.24,0
2011-07-01T00:00:00Z,529698,0,541489.2,1070.4,0,510.614,37207.4,0
2011-08-01T00:00:00Z,517798,0,558708,1039.2,0,498.84,36320.51,0
2011-09-01T00:00:00Z,509386,0,485149.2,1058.4,0,504.45,36430.96,0
2011-10-01T00:00:00Z,423940,0,452898,1032,0,425.92,30962.27,0
2011-11-01T00:00:00Z,454883,0,412425.6,890.4,0,456.898,32311.86,0
2011-12-01T00:00:00Z,437160,0,438447.6,945.6,0,405.734,32833.56,0
2012-01-01T00:00:00Z,442807,0,469275.6,1022.4,0,408.21,33727.71,0
2012-02-01T00:00:00Z,474414,0,425593.2,950.4,0,423.07,35493.26,0
2012-03-01T00:00:00Z,415849,0,448905.6,931.2,0,406.31,32621,0
2012-04-01T00:00:00Z,431029,0,430886.4,897.6,0,438.9,33513.26,0
2012-05-01T00:00:00Z,486671,0,473954.4,972,0,498.72,37630.89,0
2012-06-01T00:00:00Z,565990,0,565212,1056,0,553.72,40441.52,0
2012-07-01T00:00:00Z,574860,0,597973.2,1039.2,0,564.1,40933.78,0
2012-08-01T00:00:00Z,476168,0,511821.6,1015.2,0,483.95,34266.08,0
2012-09-01T00:00:00Z,457277,0,427582.8,945.6,0,483.77,32663.71,0
2012-10-01T00:00:00Z,400752,0,428686.8,806.4,0,414.58,28540.7,0
2012-11-01T00:00:00Z,465474,0,423511.2,847.2,0,490.4,32807.44,0
2012-12-01T00:00:00Z,451316,0,437199.6,835.2,0,434.07,35158.53,0
2013-01-01T00:00:00Z,486536,0,480556.8,1017.6,0,457.4,38923.19,0
2013-02-01T00:00:00Z,420337,0,411632.4,820.8,0,396.86,32557.18,0
2013-03-01T00:00:00Z,415016,9424,437680.8,804,26.4,393.29,32370.28,1043.9
2013-04-01T00:00:00Z,393985,10846,417562.8,931.2,31.2,409.41,34197.98,980.37
2013-05-01T00:00:00Z,420810,12330,426244.8,928.8,21.6,435.91,35174.47,1043.9
2013-06-01T00:00:00Z,397878,16643,425908.7,772.8,192,393.596,31044.63,2059.69
