datetime,value
01.01.2021 00:00:00,43.72
01.01.2021 01:00:00,41.42
01.01.2021 02:00:00,43.69
01.01.2021 03:00:00,43.47
01.01.2021 04:00:00,45.05
01.01.2021 05:00:00,44.89
01.01.2021 06:00:00,45.37
01.01.2021 07:00:00,44.78
01.01.2021 08:00:00,45.64
01.01.2021 09:00:00,45.61
01.01.2021 10:00:00,43.92
01.01.2021 11:00:00,43.55
01.01.2021 12:00:00,42.73
01.01.2021 13:00:00,42.28
01.01.2021 14:00:00,43.14
01.01.2021 15:00:00,43.39
01.01.2021 16:00:00,44.01
01.01.2021 17:00:00,42.42
01.01.2021 18:00:00,41.71
01.01.2021 19:00:00,41.97
01.01.2021 20:00:00,41.15
01.01.2021 21:00:00,41.63
01.01.2021 22:00:00,41.12
01.01.2021 23:00:00,41.78
02.01.2021 00:00:00,43.11
02.01.2021 01:00:00,46.73
02.01.2021 02:00:00,47.43
02.01.2021 03:00:00,47.80
02.01.2021 04:00:00,48.17
02.01.2021 05:00:00,47.67
02.01.2021 06:00:00,47.14
02.01.2021 07:00:00,47.62
02.01.2021 08:00:00,46.31
02.01.2021 09:00:00,44.97
02.01.2021 10:00:00,43.44
02.01.2021 11:00:00,43.98
02.01.2021 12:00:00,43.39
02.01.2021 13:00:00,44.05
02.01.2021 14:00:00,43.77
02.01.2021 15:00:00,43.78
02.01.2021 16:00:00,47.98
02.01.2021 17:00:00,47.03
02.01.2021 18:00:00,45.47
02.01.2021 19:00:00,46.41
02.01.2021 20:00:00,46.69
02.01.2021 21:00:00,46.59
02.01.2021 22:00:00,48.05
02.01.2021 23:00:00,48.85
03.01.2021 00:00:00,45.99
03.01.2021 01:00:00,41.99
03.01.2021 02:00:00,43.07
03.01.2021 03:00:00,43.64
03.01.2021 04:00:00,43.58
03.01.2021 05:00:00,44.44
03.01.2021 06:00:00,42.93
03.01.2021 07:00:00,42.84
03.01.2021 08:00:00,41.80
03.01.2021 09:00:00,40.69
03.01.2021 10:00:00,38.88
03.01.2021 11:00:00,37.84
03.01.2021 12:00:00,35.41
03.01.2021 13:00:00,35.09
03.01.2021 14:00:00,40.25
03.01.2021 15:00:00,40.03
03.01.2021 16:00:00,41.04
03.01.2021 17:00:00,40.69
03.01.2021 18:00:00,42.01
03.01.2021 19:00:00,41.92
03.01.2021 20:00:00,43.85
03.01.2021 21:00:00,43.28
03.01.2021 22:00:00,37.47
03.01.2021 23:00:00,38.69
04.01.2021 00:00:00,39.82
04.01.2021 01:00:00,42.46
04.01.2021 02:00:00,43.63
04.01.2021 03:00:00,43.34
04.01.2021 04:00:00,42.14
04.01.2021 05:00:00,41.01
04.01.2021 06:00:00,40.02
04.01.2021 07:00:00,39.93
04.01.2021 08:00:00,40.32
04.01.2021 09:00:00,39.35
04.01.2021 10:00:00,36.22
04.01.2021 11:00:00,35.15
04.01.2021 12:00:00,36.40
04.01.2021 13:00:00,36.48
04.01.2021 14:00:00,38.05
04.01.2021 15:00:00,38.59
04.01.2021 16:00:00,37.63
04.01.2021 17:00:00,36.65
04.01.2021 18:00:00,34.39
04.01.2021 19:00:00,36.86
04.01.2021 20:00:00,37.01
04.01.2021 21:00:00,37.31
04.01.2021 22:00:00,38.32
04.01.2021 23:00:00,39.68
05.01.2021 00:00:00,39.59
05.01.2021 01:00:00,43.29
05.01.2021 02:00:00,44.02
05.01.2021 03:00:00,44.86
05.01.2021 04:00:00,44.35
05.01.2021 05:00:00,45.44
05.01.2021 06:00:00,44.20
05.01.2021 07:00:00,44.46
05.01.2021 08:00:00,40.90
05.01.2021 09:00:00,39.92
05.01.2021 10:00:00,38.71
05.01.2021 11:00:00,37.69
05.01.2021 12:00:00,38.54
05.01.2021 13:00:00,37.68
05.01.2021 14:00:00,41.34
05.01.2021 15:00:00,41.65
05.01.2021 16:00:00,41.36
05.01.2021 17:00:00,42.72
05.01.2021 18:00:00,39.65
05.01.2021 19:00:00,40.11
05.01.2021 20:00:00,41.22
05.01.2021 21:00:00,40.51
05.01.2021 22:00:00,42.83
05.01.2021 23:00:00,43.74
06.01.2021 00:00:00,44.88
06.01.2021 01:00:00,43.71
06.01.2021 02:00:00,44.18
06.01.2021 03:00:00,43.72
06.01.2021 04:00:00,44.02
06.01.2021 05:00:00,43.97
06.01.2021 06:00:00,42.43
06.01.2021 07:00:00,42.79
06.01.2021 08:00:00,42.29
06.01.2021 09:00:00,41.01
06.01.2021 10:00:00,41.29
06.01.2021 11:00:00,40.36
06.01.2021 12:00:00,40.70
06.01.2021 13:00:00,38.31
06.01.2021 14:00:00,39.04
06.01.2021 15:00:00,38.57
06.01.2021 16:00:00,38.24
06.01.2021 17:00:00,38.96
06.01.2021 18:00:00,37.96
06.01.2021 19:00:00,38.31
06.01.2021 20:00:00,39.75
06.01.2021 21:00:00,39.54
06.01.2021 22:00:00,40.51
06.01.2021 23:00:00,41.60
07.01.2021 00:00:00,42.55
07.01.2021 01:00:00,47.72
07.01.2021 02:00:00,47.99
07.01.2021 03:00:00,47.27
07.01.2021 04:00:00,48.23
07.01.2021 05:00:00,45.91
07.01.2021 06:00:00,45.51
07.01.2021 07:00:00,44.38
07.01.2021 08:00:00,43.51
07.01.2021 09:00:00,37.10
07.01.2021 10:00:00,31.17
07.01.2021 11:00:00,30.56
07.01.2021 12:00:00,29.63
07.01.2021 13:00:00,29.85
07.01.2021 14:00:00,31.15
07.01.2021 15:00:00,31.51
07.01.2021 16:00:00,42.46
07.01.2021 17:00:00,42.11
07.01.2021 18:00:00,40.74
07.01.2021 19:00:00,40.87
07.01.2021 20:00:00,41.82
07.01.2021 21:00:00,43.10
07.01.2021 22:00:00,43.73
07.01.2021 23:00:00,45.64
08.01.2021 00:00:00,45.79
08.01.2021 01:00:00,47.54
08.01.2021 02:00:00,47.60
08.01.2021 03:00:00,48.18
08.01.2021 04:00:00,47.13
08.01.2021 05:00:00,48.39
08.01.2021 06:00:00,47.92
08.01.2021 07:00:00,46.27
08.01.2021 08:00:00,44.23
08.01.2021 09:00:00,41.82
08.01.2021 10:00:00,40.85
08.01.2021 11:00:00,39.85
08.01.2021 12:00:00,40.57
08.01.2021 13:00:00,40.25
08.01.2021 14:00:00,41.12
08.01.2021 15:00:00,41.71
08.01.2021 16:00:00,41.18
08.01.2021 17:00:00,43.89
08.01.2021 18:00:00,42.18
08.01.2021 19:00:00,42.92
08.01.2021 20:00:00,43.32
08.01.2021 21:00:00,44.34
08.01.2021 22:00:00,45.29
08.01.2021 23:00:00,46.41
09.01.2021 00:00:00,47.98
09.01.2021 01:00:00,46.71
09.01.2021 02:00:00,47.60
09.01.2021 03:00:00,48.09
09.01.2021 04:00:00,47.12
09.01.2021 05:00:00,48.09
09.01.2021 06:00:00,46.68
09.01.2021 07:00:00,46.93
09.01.2021 08:00:00,45.57
09.01.2021 09:00:00,44.54
09.01.2021 10:00:00,42.33
09.01.2021 11:00:00,41.27
09.01.2021 12:00:00,41.05
09.01.2021 13:00:00,41.95
09.01.2021 14:00:00,41.06
09.01.2021 15:00:00,42.04
09.01.2021 16:00:00,43.14
09.01.2021 17:00:00,41.55
09.01.2021 18:00:00,39.46
09.01.2021 19:00:00,40.36
09.01.2021 20:00:00,41.31
09.01.2021 21:00:00,42.97
09.01.2021 22:00:00,43.37
09.01.2021 23:00:00,43.73
10.01.2021 00:00:00,45.13
10.01.2021 01:00:00,43.78
10.01.2021 02:00:00,45.10
10.01.2021 03:00:00,44.71
10.01.2021 04:00:00,44.91
10.01.2021 05:00:00,43.01
10.01.2021 06:00:00,42.75
10.01.2021 07:00:00,42.40
10.01.2021 08:00:00,42.96
10.01.2021 09:00:00,42.41
10.01.2021 10:00:00,39.76
10.01.2021 11:00:00,37.98
10.01.2021 12:00:00,38.14
10.01.2021 13:00:00,37.97
10.01.2021 14:00:00,38.36
